detail_id,order_id,product_id,quantity
DET00074,ORD02021,PROD028,1
DET00075,ORD02298,PROD010,1
DET00076,ORD03897,PROD040,3
DET00077,ORD04303,PROD007,3
DET00078,ORD00360,PROD014,4
DET00079,ORD02572,PROD045,4
DET00080,ORD00778,PROD048,4
DET00081,ORD03710,PROD010,4
DET00082,ORD01635,PROD023,2
DET00083,ORD02887,PROD038,3
DET00084,ORD02102,PROD039,1
DET00085,ORD01434,PROD037,2
DET00086,ORD03878,PROD018,1
DET00087,ORD04491,PROD027,1
DET00088,ORD03692,PROD010,3
DET00089,ORD00482,PROD002,1
DET00090,ORD02286,PROD047,1
DET00091,ORD02697,PROD029,1
DET00092,ORD03105,PROD017,2
DET00093,ORD00722,PROD017,1
DET00094,ORD00119,PROD014,4
DET00095,ORD00309,PROD030,4
DET00096,ORD04643,PROD012,3
DET00097,ORD03406,PROD044,4
DET00098,ORD01485,PROD035,2
DET00099,ORD00124,PROD027,4
DET00100,ORD04403,PROD013,1
DET00101,ORD04908,PROD025,2
DET00102,ORD02773,PROD035,4
DET00103,ORD01119,PROD032,1
DET00104,ORD02833,PROD003,3
DET00105,ORD00778,PROD037,2
DET00106,ORD00316,PROD014,2
DET00107,ORD04704,PROD009,4
DET00108,ORD04589,PROD039,4
DET00109,ORD01111,PROD034,2
DET00110,ORD02648,PROD044,4
DET00111,ORD00124,PROD009,3
DET00112,ORD00874,PROD028,3
DET00113,ORD03322,PROD004,1
DET00114,ORD00807,PROD034,1
DET00115,ORD03906,PROD009,2
DET00116,ORD01081,PROD008,2
DET00117,ORD03913,PROD035,2
DET00118,ORD00155,PROD017,2
DET00119,ORD02122,PROD034,2
DET00120,ORD01584,PROD029,4
DET00121,ORD03613,PROD048,2
DET00122,ORD04147,PROD024,1
DET00123,ORD03113,PROD022,4
DET00124,ORD02707,PROD009,1
DET00125,ORD03102,PROD031,4
DET00126,ORD03755,PROD022,1
DET00127,ORD03728,PROD039,4
DET00128,ORD00615,PROD014,2
DET00129,ORD00768,PROD025,3
DET00130,ORD01128,PROD011,2
DET00131,ORD04825,PROD030,3
DET00132,ORD00606,PROD007,3
DET00133,ORD02657,PROD007,2
DET00134,ORD01112,PROD013,2
DET00135,ORD02314,PROD032,4
DET00136,ORD04277,PROD039,1
DET00137,ORD00193,PROD047,4
DET00138,ORD04276,PROD032,1
DET00139,ORD03609,PROD002,3
DET00140,ORD04723,PROD033,4
DET00141,ORD01010,PROD024,2
DET00142,ORD02178,PROD015,4
DET00143,ORD02743,PROD009,3
DET00144,ORD00311,PROD045,2
DET00145,ORD04885,PROD048,3
DET00146,ORD00576,PROD049,2
DET00147,ORD02981,PROD020,2
DET00148,ORD01547,PROD008,2
DET00149,ORD02567,PROD014,2
DET00150,ORD03497,PROD002,1
DET00151,ORD00457,PROD043,1
DET00152,ORD03696,PROD019,2
DET00153,ORD03633,PROD025,1
DET00154,ORD00337,PROD027,1
DET00155,ORD02220,PROD029,3
DET00156,ORD00091,PROD025,3
DET00157,ORD02883,PROD018,4
DET00158,ORD02501,PROD021,2
DET00159,ORD03669,PROD039,4
DET00160,ORD00654,PROD025,1
DET00161,ORD04292,PROD003,4
DET00162,ORD04948,PROD033,1
DET00163,ORD03973,PROD002,3
DET00164,ORD04524,PROD006,1
DET00165,ORD04953,PROD025,2
DET00166,ORD03642,PROD015,4
DET00167,ORD00351,PROD003,2
DET00168,ORD04917,PROD050,1
DET00169,ORD01609,PROD007,3
DET00170,ORD02985,PROD013,2
DET00171,ORD04047,PROD038,1
DET00172,ORD01644,PROD026,4
DET00173,ORD00485,PROD012,3
DET00174,ORD00484,PROD044,1
DET00175,ORD00747,PROD027,4
DET00176,ORD02359,PROD010,2
DET00177,ORD00600,PROD039,2
DET00178,ORD04609,PROD025,1
DET00179,ORD01166,PROD032,2
DET00180,ORD04402,PROD001,1
DET00181,ORD04133,PROD035,1
DET00182,ORD04711,PROD006,3
DET00183,ORD01132,PROD005,4
DET00184,ORD03038,PROD007,4
DET00185,ORD04576,PROD047,3
DET00186,ORD01179,PROD045,2
DET00187,ORD00958,PROD011,1
DET00188,ORD00237,PROD024,1
DET00189,ORD03553,PROD050,1
DET00190,ORD02700,PROD011,2
DET00191,ORD02466,PROD014,1
DET00192,ORD04323,PROD026,1
DET00193,ORD01018,PROD039,3
DET00194,ORD00618,PROD049,1
DET00195,ORD01046,PROD045,2
DET00196,ORD00721,PROD013,1
DET00197,ORD00886,PROD006,1
DET00198,ORD01691,PROD029,3
DET00199,ORD01378,PROD034,2
DET00200,ORD03798,PROD042,1
DET00201,ORD03016,PROD009,3
DET00202,ORD02795,PROD009,3
DET00203,ORD00164,PROD026,4
DET00204,ORD01157,PROD027,3
DET00205,ORD01213,PROD029,4
DET00206,ORD01259,PROD010,2
DET00207,ORD03552,PROD021,4
DET00208,ORD03250,PROD026,1
DET00209,ORD01268,PROD038,3
DET00210,ORD02695,PROD049,4
DET00211,ORD02994,PROD050,3
DET00212,ORD04709,PROD031,4
DET00213,ORD00678,PROD018,3
DET00214,ORD00505,PROD041,4
DET00215,ORD04127,PROD036,1
DET00216,ORD01603,PROD001,4
DET00217,ORD04518,PROD022,1
DET00218,ORD04413,PROD043,2
DET00219,ORD00364,PROD041,4
DET00220,ORD00483,PROD023,3
DET00221,ORD02786,PROD040,2
DET00222,ORD02432,PROD026,1
DET00223,ORD02458,PROD009,1
DET00224,ORD02227,PROD018,2
DET00225,ORD02148,PROD038,2
DET00226,ORD01325,PROD010,4
DET00227,ORD03076,PROD028,1
DET00228,ORD01641,PROD003,4
DET00229,ORD01624,PROD036,1
DET00230,ORD01641,PROD027,3
DET00231,ORD01550,PROD035,3
DET00232,ORD00312,PROD002,1
DET00233,ORD01819,PROD027,4
DET00234,ORD01865,PROD003,4
DET00235,ORD04052,PROD039,4
DET00236,ORD00085,PROD038,3
DET00237,ORD01779,PROD030,3
DET00238,ORD03787,PROD005,4
DET00239,ORD01287,PROD022,4
DET00240,ORD01637,PROD024,3
DET00241,ORD02870,PROD045,2
DET00242,ORD01543,PROD016,2
DET00243,ORD04011,PROD014,1
DET00244,ORD02455,PROD031,1
DET00245,ORD03586,PROD037,2
DET00246,ORD00466,PROD023,3
DET00247,ORD02453,PROD034,4
DET00248,ORD00148,PROD002,3
DET00249,ORD03464,PROD009,3
DET00250,ORD04285,PROD048,1
DET00251,ORD04151,PROD001,4
DET00252,ORD00462,PROD028,2
DET00253,ORD01364,PROD006,2
DET00254,ORD01228,PROD012,4
DET00255,ORD01230,PROD029,2
DET00256,ORD03413,PROD048,2
DET00257,ORD00469,PROD005,4
DET00258,ORD03415,PROD023,3
DET00259,ORD03909,PROD038,2
DET00260,ORD00721,PROD030,4
DET00261,ORD02129,PROD042,1
DET00262,ORD01060,PROD013,3
DET00263,ORD04049,PROD046,4
DET00264,ORD00382,PROD029,4
DET00265,ORD00049,PROD005,3
DET00266,ORD00065,PROD039,1
DET00267,ORD03362,PROD042,3
DET00268,ORD04655,PROD009,1
DET00269,ORD04240,PROD040,4
DET00270,ORD01730,PROD049,1
DET00271,ORD03491,PROD030,2
DET00272,ORD00665,PROD042,2
DET00273,ORD02833,PROD047,1
DET00274,ORD04122,PROD033,4
DET00275,ORD02345,PROD034,2
DET00276,ORD01196,PROD041,3
DET00277,ORD03247,PROD012,3
DET00278,ORD01296,PROD049,1
DET00279,ORD04139,PROD008,4
DET00280,ORD04606,PROD036,1
DET00281,ORD01772,PROD011,4
DET00282,ORD00992,PROD005,2
DET00283,ORD04536,PROD031,2
DET00284,ORD00837,PROD047,3
DET00285,ORD04873,PROD008,2
DET00286,ORD01604,PROD008,4
DET00287,ORD03978,PROD008,3
DET00288,ORD00717,PROD039,4
DET00289,ORD02867,PROD005,2
DET00290,ORD02406,PROD017,2
DET00291,ORD02639,PROD007,2
DET00292,ORD00747,PROD020,2
DET00293,ORD01330,PROD017,3
DET00294,ORD01150,PROD014,2
DET00295,ORD02487,PROD020,2
DET00296,ORD02712,PROD004,1
DET00297,ORD04471,PROD018,2
DET00298,ORD02506,PROD041,3
DET00299,ORD01381,PROD003,1
DET00300,ORD03455,PROD036,4
DET00301,ORD02035,PROD046,3
DET00302,ORD04615,PROD023,4
DET00303,ORD01586,PROD015,2
DET00304,ORD03704,PROD043,3
DET00305,ORD03514,PROD019,2
DET00306,ORD03748,PROD001,4
DET00307,ORD03903,PROD014,4
DET00308,ORD02785,PROD046,3
DET00309,ORD00935,PROD002,1
DET00310,ORD04458,PROD009,1
DET00311,ORD01643,PROD005,4
DET00312,ORD01715,PROD004,1
DET00313,ORD04083,PROD024,3
DET00314,ORD03267,PROD019,1
DET00315,ORD00591,PROD007,3
DET00316,ORD04288,PROD044,2
DET00317,ORD00636,PROD035,3
DET00318,ORD03893,PROD021,3
DET00319,ORD00719,PROD044,1
DET00320,ORD00280,PROD048,3
DET00321,ORD04198,PROD045,2
DET00322,ORD04694,PROD017,1
DET00323,ORD02800,PROD029,4
DET00324,ORD03502,PROD045,2
DET00325,ORD03074,PROD050,1
DET00326,ORD01114,PROD050,2
DET00327,ORD03058,PROD012,2
DET00328,ORD00133,PROD039,3
DET00329,ORD04725,PROD050,3
DET00330,ORD02745,PROD036,3
DET00331,ORD01918,PROD007,3
DET00332,ORD03459,PROD024,3
DET00333,ORD01924,PROD009,1
DET00334,ORD02217,PROD019,2
DET00335,ORD02115,PROD003,4
DET00336,ORD01209,PROD024,4
DET00337,ORD00518,PROD004,3
DET00338,ORD03697,PROD043,2
DET00339,ORD01287,PROD019,1
DET00340,ORD02762,PROD037,1
DET00341,ORD01035,PROD026,1
DET00342,ORD03588,PROD021,2
DET00343,ORD03972,PROD021,4
DET00344,ORD01857,PROD015,2
DET00345,ORD04586,PROD030,1
DET00346,ORD01775,PROD002,1
DET00347,ORD02989,PROD035,3
DET00348,ORD02461,PROD034,2
DET00349,ORD02969,PROD041,1
DET00350,ORD03993,PROD018,4
DET00351,ORD02557,PROD005,1
DET00352,ORD02972,PROD007,1
DET00353,ORD00656,PROD023,2
DET00354,ORD00366,PROD048,2
DET00355,ORD04224,PROD037,4
DET00356,ORD03573,PROD012,2
DET00357,ORD00773,PROD026,4
DET00358,ORD00581,PROD028,1
DET00359,ORD04491,PROD007,4
DET00360,ORD01195,PROD022,2
DET00361,ORD00139,PROD017,2
DET00362,ORD02398,PROD024,3
DET00363,ORD04740,PROD036,3
DET00364,ORD03007,PROD023,1
DET00365,ORD04549,PROD035,2
DET00366,ORD01922,PROD048,3
DET00367,ORD00657,PROD036,1
DET00368,ORD00255,PROD021,2
DET00369,ORD03491,PROD045,1
DET00370,ORD03789,PROD043,2
DET00371,ORD01778,PROD031,2
DET00372,ORD04617,PROD003,2
DET00373,ORD02544,PROD020,4
DET00374,ORD00373,PROD016,4
DET00375,ORD04694,PROD029,4
DET00376,ORD01186,PROD043,3
DET00377,ORD03750,PROD008,3
DET00378,ORD00959,PROD044,4
DET00379,ORD02179,PROD025,1
DET00380,ORD04237,PROD013,3
DET00381,ORD04191,PROD050,4
DET00382,ORD02387,PROD038,3
DET00383,ORD00637,PROD016,1
DET00384,ORD00701,PROD004,4
DET00385,ORD04055,PROD008,2
DET00386,ORD04086,PROD026,3
DET00387,ORD01876,PROD021,3
DET00388,ORD00687,PROD035,2
DET00389,ORD03264,PROD017,2
DET00390,ORD02982,PROD038,3
DET00391,ORD03860,PROD028,2
DET00392,ORD03362,PROD034,1
DET00393,ORD01997,PROD036,1
DET00394,ORD00836,PROD001,4
DET00395,ORD02675,PROD047,1
DET00396,ORD02214,PROD016,3
DET00397,ORD02393,PROD050,4
DET00398,ORD03781,PROD021,2
DET00399,ORD01514,PROD048,2
DET00400,ORD03360,PROD001,2
DET00401,ORD03924,PROD012,1
DET00402,ORD02352,PROD045,2
DET00403,ORD00226,PROD007,4
DET00404,ORD02746,PROD026,1
DET00405,ORD02543,PROD012,1
DET00406,ORD02136,PROD038,2
DET00407,ORD03186,PROD042,4
DET00408,ORD00567,PROD043,4
DET00409,ORD00668,PROD048,1
DET00410,ORD01704,PROD022,4
DET00411,ORD04214,PROD024,1
DET00412,ORD02203,PROD037,2
DET00413,ORD01324,PROD047,4
DET00414,ORD02396,PROD020,3
DET00415,ORD00227,PROD049,2
DET00416,ORD02189,PROD047,4
DET00417,ORD00119,PROD031,2
DET00418,ORD03574,PROD022,4
DET00419,ORD04904,PROD002,1
DET00420,ORD01539,PROD023,2
DET00421,ORD02483,PROD039,2
DET00422,ORD03628,PROD050,4
DET00423,ORD00122,PROD046,4
DET00424,ORD01732,PROD044,3
DET00425,ORD04235,PROD035,4
DET00426,ORD04355,PROD032,2
DET00427,ORD03117,PROD011,4
DET00428,ORD01691,PROD042,3
DET00429,ORD04862,PROD009,4
DET00430,ORD03824,PROD015,3
DET00431,ORD03060,PROD016,4
DET00432,ORD00495,PROD043,4
DET00433,ORD00049,PROD040,2
DET00434,ORD03932,PROD001,4
DET00435,ORD03751,PROD006,1
DET00436,ORD04506,PROD012,2
DET00437,ORD02210,PROD017,2
DET00438,ORD04078,PROD013,2
DET00439,ORD04557,PROD044,1
DET00440,ORD00109,PROD007,4
DET00441,ORD00038,PROD033,4
DET00442,ORD02474,PROD032,3
DET00443,ORD01710,PROD038,1
DET00444,ORD02399,PROD011,3
DET00445,ORD01732,PROD039,4
DET00446,ORD00752,PROD021,2
DET00447,ORD03602,PROD034,4
DET00448,ORD01493,PROD012,4
DET00449,ORD04591,PROD015,2
DET00450,ORD01051,PROD039,3
DET00451,ORD01362,PROD047,2
DET00452,ORD00617,PROD036,4
DET00453,ORD04641,PROD006,2
DET00454,ORD02868,PROD012,1
DET00455,ORD03975,PROD006,3
DET00456,ORD03430,PROD041,4
DET00457,ORD04856,PROD033,1
DET00458,ORD02745,PROD023,3
DET00459,ORD03929,PROD016,1
DET00460,ORD03486,PROD016,3
DET00461,ORD04934,PROD021,4
DET00462,ORD04067,PROD030,1
DET00463,ORD01393,PROD016,3
DET00464,ORD03761,PROD010,3
DET00465,ORD00343,PROD007,2
DET00466,ORD01091,PROD033,1
DET00467,ORD04903,PROD007,1
DET00468,ORD02829,PROD009,2
DET00469,ORD02506,PROD042,2
DET00470,ORD02203,PROD042,4
DET00471,ORD02128,PROD016,2
DET00472,ORD04087,PROD014,3
DET00473,ORD01839,PROD023,4
DET00474,ORD01664,PROD012,3
DET00475,ORD02695,PROD027,1
DET00476,ORD01762,PROD033,4
DET00477,ORD00285,PROD010,3
DET00478,ORD02039,PROD001,4
DET00479,ORD02584,PROD033,1
DET00480,ORD00153,PROD032,1
DET00481,ORD04162,PROD003,1
DET00482,ORD04702,PROD044,3
DET00483,ORD03185,PROD047,3
DET00484,ORD03839,PROD048,1
DET00485,ORD00960,PROD002,3
DET00486,ORD03437,PROD021,4
DET00487,ORD03703,PROD031,4
DET00488,ORD02447,PROD001,2
DET00489,ORD00505,PROD035,1
DET00490,ORD00012,PROD019,1
DET00491,ORD04728,PROD039,2
DET00492,ORD04697,PROD040,2
DET00493,ORD03497,PROD041,3
DET00494,ORD02038,PROD028,3
DET00495,ORD04525,PROD007,3
DET00496,ORD03160,PROD045,3
DET00497,ORD01143,PROD016,1
DET00498,ORD04792,PROD044,4
DET00499,ORD03212,PROD042,1
DET00500,ORD01614,PROD019,3
DET00501,ORD04561,PROD044,2
DET00502,ORD00603,PROD034,2
DET00503,ORD04952,PROD020,4
DET00504,ORD01518,PROD024,3
DET00505,ORD02806,PROD040,1
DET00506,ORD03388,PROD022,4
DET00507,ORD00978,PROD009,2
DET00508,ORD00407,PROD050,4
DET00509,ORD04108,PROD032,3
DET00510,ORD00962,PROD027,3
DET00511,ORD01439,PROD013,2
DET00512,ORD01096,PROD012,4
DET00513,ORD03613,PROD046,4
DET00514,ORD03613,PROD013,1
DET00515,ORD03494,PROD035,2
DET00516,ORD01345,PROD040,1
DET00517,ORD01327,PROD021,3
DET00518,ORD02541,PROD041,3
DET00519,ORD00105,PROD034,4
DET00520,ORD00255,PROD021,1
DET00521,ORD04123,PROD046,1
DET00522,ORD02435,PROD012,3
DET00523,ORD04538,PROD036,4
DET00524,ORD03064,PROD027,2
DET00525,ORD04431,PROD014,3
DET00526,ORD03791,PROD043,4
DET00527,ORD04508,PROD044,2
DET00528,ORD04096,PROD039,3
DET00529,ORD02815,PROD033,3
DET00530,ORD02942,PROD022,1
DET00531,ORD00377,PROD002,3
DET00532,ORD00170,PROD043,2
DET00533,ORD02462,PROD028,4
DET00534,ORD03474,PROD025,3
DET00535,ORD00175,PROD030,1
DET00536,ORD03912,PROD047,3
DET00537,ORD01399,PROD003,2
DET00538,ORD02017,PROD034,2
DET00539,ORD01243,PROD038,4
DET00540,ORD03140,PROD045,4
DET00541,ORD04903,PROD040,3
DET00542,ORD01611,PROD024,1
DET00543,ORD01819,PROD028,3
DET00544,ORD00871,PROD006,2
DET00545,ORD03629,PROD009,4
DET00546,ORD04215,PROD049,2
DET00547,ORD01376,PROD019,3
DET00548,ORD00748,PROD031,4
DET00549,ORD03788,PROD005,3
DET00550,ORD00111,PROD024,2
DET00551,ORD02526,PROD010,1
DET00552,ORD04656,PROD005,3
DET00553,ORD02922,PROD005,4
DET00554,ORD03499,PROD045,2
DET00555,ORD03948,PROD001,2
DET00556,ORD04364,PROD047,2
DET00557,ORD03474,PROD005,2
DET00558,ORD00124,PROD030,4
DET00559,ORD02531,PROD042,3
DET00560,ORD01632,PROD006,4
DET00561,ORD03421,PROD001,3
DET00562,ORD01407,PROD007,3
DET00563,ORD01538,PROD025,3
DET00564,ORD01561,PROD032,4
DET00565,ORD00428,PROD032,4
DET00566,ORD02664,PROD025,2
DET00567,ORD04466,PROD032,2
DET00568,ORD02519,PROD032,3
DET00569,ORD03405,PROD017,4
DET00570,ORD04170,PROD016,4
DET00571,ORD04250,PROD016,4
DET00572,ORD01145,PROD004,2
DET00573,ORD01002,PROD017,1
DET00574,ORD01663,PROD047,3
DET00575,ORD03567,PROD018,3
DET00576,ORD02429,PROD006,3
DET00577,ORD03640,PROD028,1
DET00578,ORD03122,PROD046,3
DET00579,ORD04597,PROD035,1
DET00580,ORD04174,PROD039,3
DET00581,ORD01326,PROD050,2
DET00582,ORD00723,PROD011,4
DET00583,ORD03985,PROD013,4
DET00584,ORD02031,PROD013,4
DET00585,ORD04905,PROD031,4
DET00586,ORD02794,PROD046,4
DET00587,ORD04101,PROD023,3
DET00588,ORD04401,PROD015,4
DET00589,ORD00152,PROD011,2
DET00590,ORD00423,PROD008,4
DET00591,ORD02997,PROD014,3
DET00592,ORD02255,PROD007,2
DET00593,ORD00365,PROD010,2
DET00594,ORD02095,PROD030,4
DET00595,ORD03579,PROD050,2
DET00596,ORD02241,PROD004,1
DET00597,ORD03919,PROD038,1
DET00598,ORD04098,PROD046,4
DET00599,ORD00612,PROD019,4
DET00600,ORD01379,PROD005,3
DET00601,ORD02047,PROD043,1
DET00602,ORD00769,PROD041,1
DET00603,ORD01211,PROD046,4
DET00604,ORD03150,PROD034,4
DET00605,ORD01788,PROD035,3
DET00606,ORD00195,PROD021,2
DET00607,ORD01058,PROD019,4
DET00608,ORD04031,PROD027,3
DET00609,ORD00437,PROD020,3
DET00610,ORD03263,PROD042,3
DET00611,ORD00144,PROD044,4
DET00612,ORD04916,PROD040,3
DET00613,ORD04809,PROD017,4
DET00614,ORD04354,PROD041,4
DET00615,ORD04191,PROD011,2
DET00616,ORD02324,PROD027,4
DET00617,ORD00661,PROD004,1
DET00618,ORD01915,PROD014,4
DET00619,ORD01914,PROD015,2
DET00620,ORD04428,PROD041,3
DET00621,ORD00698,PROD039,4
DET00622,ORD02289,PROD039,2
DET00623,ORD02424,PROD032,1
DET00624,ORD02648,PROD022,4
DET00625,ORD04946,PROD041,1
DET00626,ORD02042,PROD018,4
DET00627,ORD02358,PROD034,4
DET00628,ORD03174,PROD026,3
DET00629,ORD02747,PROD018,3
DET00630,ORD04903,PROD044,3
DET00631,ORD00478,PROD036,1
DET00632,ORD02287,PROD031,4
DET00633,ORD04801,PROD009,2
DET00634,ORD00932,PROD019,1
DET00635,ORD02305,PROD012,3
DET00636,ORD02183,PROD007,2
DET00637,ORD01725,PROD037,2
DET00638,ORD01418,PROD010,1
DET00639,ORD02826,PROD006,4
DET00640,ORD00437,PROD029,2
DET00641,ORD01150,PROD011,3
DET00642,ORD01623,PROD033,1
DET00643,ORD01284,PROD016,1
DET00644,ORD04848,PROD050,4
DET00645,ORD04375,PROD049,3
DET00646,ORD01279,PROD032,1
DET00647,ORD01912,PROD001,4
DET00648,ORD04605,PROD023,3
DET00649,ORD01515,PROD004,3
DET00650,ORD01773,PROD008,2
DET00651,ORD00736,PROD038,1
DET00652,ORD02584,PROD041,4
DET00653,ORD01956,PROD010,2
DET00654,ORD04209,PROD001,2
DET00655,ORD01962,PROD043,2
DET00656,ORD04424,PROD030,2
DET00657,ORD00345,PROD045,1
DET00658,ORD04099,PROD016,3
DET00659,ORD01421,PROD047,3
DET00660,ORD02552,PROD028,2
DET00661,ORD01465,PROD009,4
DET00662,ORD02011,PROD017,3
DET00663,ORD03302,PROD043,3
DET00664,ORD00461,PROD047,3
DET00665,ORD02417,PROD029,1
DET00666,ORD03599,PROD040,2
DET00667,ORD01016,PROD041,4
DET00668,ORD00972,PROD032,2
DET00669,ORD01751,PROD030,4
DET00670,ORD01650,PROD015,2
DET00671,ORD04523,PROD014,2
DET00672,ORD00605,PROD011,1
DET00673,ORD01844,PROD048,3
DET00674,ORD01363,PROD023,2
DET00675,ORD04950,PROD050,1
DET00676,ORD02390,PROD029,1
DET00677,ORD01532,PROD048,2
DET00678,ORD01294,PROD007,2
DET00679,ORD00449,PROD029,3
DET00680,ORD01730,PROD023,4
DET00681,ORD01834,PROD029,4
DET00682,ORD00505,PROD013,3
DET00683,ORD00793,PROD009,4
DET00684,ORD02526,PROD037,2
DET00685,ORD03127,PROD002,4
DET00686,ORD04237,PROD035,2
DET00687,ORD01358,PROD040,1
DET00688,ORD01908,PROD028,3
DET00689,ORD02586,PROD049,4
DET00690,ORD01276,PROD012,3
DET00691,ORD02348,PROD005,4
DET00692,ORD01176,PROD023,4
DET00693,ORD00348,PROD008,1
DET00694,ORD03788,PROD023,1
DET00695,ORD00169,PROD035,3
DET00696,ORD04479,PROD009,1
DET00697,ORD02634,PROD034,4
DET00698,ORD00917,PROD030,2
DET00699,ORD04640,PROD010,1
DET00700,ORD03411,PROD024,3
DET00701,ORD01177,PROD038,4
DET00702,ORD00683,PROD014,4
DET00703,ORD02047,PROD014,3
DET00704,ORD02857,PROD006,4
DET00705,ORD01472,PROD049,2
DET00706,ORD03560,PROD040,4
DET00707,ORD00939,PROD006,1
DET00708,ORD01947,PROD050,1
DET00709,ORD02481,PROD025,4
DET00710,ORD01568,PROD034,4
DET00711,ORD04621,PROD019,4
DET00712,ORD01094,PROD009,3
DET00713,ORD00821,PROD005,4
DET00714,ORD02556,PROD044,4
DET00715,ORD01600,PROD028,3
DET00716,ORD00714,PROD035,2
DET00717,ORD04348,PROD043,1
DET00718,ORD04923,PROD038,4
DET00719,ORD02782,PROD042,4
DET00720,ORD00553,PROD022,4
DET00721,ORD03990,PROD023,1
DET00722,ORD00979,PROD024,2
DET00723,ORD00119,PROD024,1
DET00724,ORD00515,PROD009,4
DET00725,ORD02898,PROD048,4
DET00726,ORD02301,PROD010,3
DET00727,ORD04956,PROD023,4
DET00728,ORD01605,PROD038,1
DET00729,ORD00672,PROD003,2
DET00730,ORD00830,PROD017,4
DET00731,ORD02619,PROD033,1
DET00732,ORD00006,PROD045,2
DET00733,ORD02609,PROD033,1
DET00734,ORD02380,PROD017,2
DET00735,ORD01482,PROD038,2
DET00736,ORD02229,PROD040,1
DET00737,ORD04209,PROD039,1
DET00738,ORD00374,PROD040,1
DET00739,ORD02346,PROD012,3
DET00740,ORD00069,PROD029,3
DET00741,ORD00058,PROD048,2
DET00742,ORD03218,PROD050,3
DET00743,ORD04628,PROD023,2
DET00744,ORD00497,PROD017,3
DET00745,ORD03760,PROD050,2
DET00746,ORD04969,PROD021,1
DET00747,ORD02282,PROD002,2
DET00748,ORD03487,PROD009,4
DET00749,ORD00794,PROD026,1
DET00750,ORD02884,PROD029,1
DET00751,ORD04374,PROD018,4
DET00752,ORD04818,PROD045,3
DET00753,ORD04045,PROD034,2
DET00754,ORD04203,PROD046,3
DET00755,ORD03615,PROD035,3
DET00756,ORD01004,PROD048,3
DET00757,ORD03718,PROD050,3
DET00758,ORD00327,PROD027,2
DET00759,ORD03403,PROD013,2
DET00760,ORD03027,PROD048,1
DET00761,ORD01019,PROD039,3
DET00762,ORD01530,PROD029,1
DET00763,ORD03868,PROD010,2
DET00764,ORD03266,PROD045,1
DET00765,ORD00863,PROD042,4
DET00766,ORD03878,PROD023,3
DET00767,ORD01167,PROD044,1
DET00768,ORD01055,PROD038,4
DET00769,ORD01290,PROD004,2
DET00770,ORD03421,PROD039,4
DET00771,ORD04737,PROD001,1
DET00772,ORD03501,PROD034,4
DET00773,ORD00277,PROD016,3
DET00774,ORD00802,PROD026,4
DET00775,ORD04440,PROD048,1
