customer_id,customer_name,gender,age,area,membership_type
CUST00058,Customer_58,Female,55,Thane,Green
CUST00059,Customer_59,Male,51,Ghatkopar,Silver
CUST00060,Customer_60,Male,30,Vashi,Silver
CUST00061,Customer_61,Female,51,Bandra,Gold
CUST00062,Customer_62,Female,56,Chembur,Gold
CUST00063,Customer_63,Male,32,Colaba,Silver
CUST00064,Customer_64,Male,21,Colaba,None
CUST00065,Customer_65,Female,56,Thane,None
CUST00066,Customer_66,Female,35,Bandra,Green
CUST00067,Customer_67,Female,60,Powai,Gold
CUST00068,Customer_68,Male,58,Thane,None
CUST00069,Customer_69,Male,44,Andheri,None
CUST00070,Customer_70,Female,60,Chembur,Silver
CUST00071,Customer_71,Female,51,Chembur,Silver
CUST00072,Customer_72,Female,46,Vashi,Gold
CUST00073,Customer_73,Male,54,Vashi,Silver
CUST00074,Customer_74,Female,42,Andheri,None
CUST00075,Customer_75,Female,59,Powai,Silver
CUST00076,Customer_76,Male,34,Dadar,Gold
CUST00077,Customer_77,Female,22,Chembur,None
CUST00078,Customer_78,Female,22,Bandra,Silver
CUST00079,Customer_79,Male,53,Borivali,None
CUST00080,Customer_80,Male,38,Dadar,Green
CUST00081,Customer_81,Male,38,Ghatkopar,Gold
CUST00082,Customer_82,Male,42,Dadar,Gold
CUST00083,Customer_83,Male,32,Andheri,None
CUST00084,Customer_84,Male,50,Vashi,Green
CUST00085,Customer_85,Male,36,Vashi,Gold
CUST00086,Customer_86,Female,27,Vashi,Gold
CUST00087,Customer_87,Female,52,Chembur,Green
CUST00088,Customer_88,Female,20,Vashi,Gold
CUST00089,Customer_89,Male,60,Dadar,Gold
CUST00090,Customer_90,Male,28,Bandra,Gold
CUST00091,Customer_91,Male,21,Borivali,Silver
CUST00092,Customer_92,Female,27,Chembur,None
CUST00093,Customer_93,Female,29,Bandra,None
CUST00094,Customer_94,Female,23,Dadar,None
CUST00095,Customer_95,Male,36,Andheri,Silver
CUST00096,Customer_96,Female,56,Powai,Green
CUST00097,Customer_97,Female,33,Ghatkopar,Gold
CUST00098,Customer_98,Male,28,Powai,Gold
CUST00099,Customer_99,Female,58,Colaba,Green
CUST00100,Customer_100,Female,36,Ghatkopar,Silver
CUST00101,Customer_101,Female,37,Andheri,None
CUST00102,Customer_102,Male,25,Colaba,None
CUST00103,Customer_103,Female,55,Thane,Gold
CUST00104,Customer_104,Male,54,Dadar,Gold
CUST00105,Customer_105,Male,29,Bandra,Gold
CUST00106,Customer_106,Female,46,Bandra,Silver
CUST00107,Customer_107,Female,32,Colaba,Silver
CUST00108,Customer_108,Female,32,Vashi,Silver
CUST00109,Customer_109,Male,52,Vashi,Silver
CUST00110,Customer_110,Male,25,Ghatkopar,None
CUST00111,Customer_111,Female,20,Powai,None
CUST00112,Customer_112,Female,43,Dadar,Green
CUST00113,Customer_113,Male,46,Dadar,Gold
CUST00114,Customer_114,Female,56,Andheri,None
CUST00115,Customer_115,Male,34,Vashi,Silver
CUST00116,Customer_116,Male,46,Thane,Green
CUST00117,Customer_117,Male,49,Thane,None
CUST00118,Customer_118,Male,32,Vashi,Green
CUST00119,Customer_119,Female,32,Chembur,Green
CUST00120,Customer_120,Female,32,Dadar,Gold
CUST00121,Customer_121,Female,58,Borivali,Green
CUST00122,Customer_122,Female,25,Vashi,Gold
CUST00123,Customer_123,Male,55,Borivali,Silver
CUST00124,Customer_124,Female,50,Vashi,Silver
CUST00125,Customer_125,Female,59,Ghatkopar,None
CUST00126,Customer_126,Male,26,Chembur,None
CUST00127,Customer_127,Male,29,Borivali,Silver
CUST00128,Customer_128,Male,38,Chembur,Silver
CUST00129,Customer_129,Male,28,Andheri,None
CUST00130,Customer_130,Female,28,Thane,Green
CUST00131,Customer_131,Male,40,Powai,Gold
CUST00132,Customer_132,Male,53,Powai,None
CUST00133,Customer_133,Female,60,Borivali,Gold
CUST00134,Customer_134,Male,47,Ghatkopar,Green
CUST00135,Customer_135,Male,35,Borivali,Green
CUST00136,Customer_136,Male,53,Powai,Silver
CUST00137,Customer_137,Female,25,Bandra,None
CUST00138,Customer_138,Female,29,Ghatkopar,Silver
CUST00139,Customer_139,Female,56,Vashi,Silver
CUST00140,Customer_140,Male,25,Colaba,Silver
CUST00141,Customer_141,Male,43,Bandra,Green
CUST00142,Customer_142,Female,45,Colaba,Green
CUST00143,Customer_143,Male,43,Chembur,Silver
CUST00144,Customer_144,Female,55,Vashi,Silver
CUST00145,Customer_145,Female,55,Borivali,Silver
CUST00146,Customer_146,Female,35,Thane,None
CUST00147,Customer_147,Male,34,Bandra,Gold
CUST00148,Customer_148,Male,23,Vashi,Green
CUST00149,Customer_149,Female,56,Colaba,Green
CUST00150,Customer_150,Female,57,Bandra,Silver
CUST00151,Customer_151,Male,40,Bandra,None
CUST00152,Customer_152,Female,38,Borivali,Gold
CUST00153,Customer_153,Female,51,Bandra,Silver
CUST00154,Customer_154,Male,37,Vashi,None
CUST00155,Customer_155,Male,22,Dadar,Green
CUST00156,Customer_156,Female,28,Dadar,Green
CUST00157,Customer_157,Male,38,Bandra,Gold
CUST00158,Customer_158,Female,56,Powai,Green
CUST00159,Customer_159,Female,28,Borivali,None
CUST00160,Customer_160,Female,43,Borivali,Gold
CUST00161,Customer_161,Male,41,Thane,Silver
CUST00162,Customer_162,Male,38,Chembur,None
CUST00163,Customer_163,Female,45,Colaba,Gold
CUST00164,Customer_164,Female,24,Colaba,Silver
CUST00165,Customer_165,Male,42,Dadar,Silver
CUST00166,Customer_166,Female,37,Bandra,Gold
CUST00167,Customer_167,Female,41,Andheri,Silver
CUST00168,Customer_168,Female,34,Dadar,Silver
CUST00169,Customer_169,Female,23,Bandra,Silver
CUST00170,Customer_170,Male,26,Borivali,Green
CUST00171,Customer_171,Female,27,Andheri,Silver
CUST00172,Customer_172,Male,19,Andheri,None
CUST00173,Customer_173,Male,56,Andheri,Silver
CUST00174,Customer_174,Female,21,Vashi,Green
CUST00175,Customer_175,Female,53,Andheri,None
CUST00176,Customer_176,Female,19,Powai,Green
CUST00177,Customer_177,Female,51,Vashi,None
CUST00178,Customer_178,Female,24,Chembur,None
CUST00179,Customer_179,Male,46,Ghatkopar,Green
CUST00180,Customer_180,Male,58,Andheri,Silver
CUST00181,Customer_181,Male,43,Colaba,None
CUST00182,Customer_182,Female,52,Powai,Green
CUST00183,Customer_183,Male,31,Thane,Gold
CUST00184,Customer_184,Male,60,Ghatkopar,None
CUST00185,Customer_185,Male,56,Borivali,None
CUST00186,Customer_186,Female,44,Chembur,Silver
CUST00187,Customer_187,Male,23,Dadar,Gold
CUST00188,Customer_188,Female,30,Dadar,None
CUST00189,Customer_189,Male,55,Powai,Green
CUST00190,Customer_190,Female,25,Colaba,Silver
CUST00191,Customer_191,Male,56,Andheri,Green
CUST00192,Customer_192,Female,21,Thane,Silver
CUST00193,Customer_193,Female,24,Vashi,Silver
CUST00194,Customer_194,Male,37,Thane,Gold
CUST00195,Customer_195,Male,45,Chembur,Silver
CUST00196,Customer_196,Female,48,Bandra,Green
CUST00197,Customer_197,Male,28,Vashi,Green
CUST00198,Customer_198,Female,60,Borivali,None
CUST00199,Customer_199,Female,39,Thane,Green
CUST00200,Customer_200,Female,58,Thane,Green
CUST00201,Customer_201,Male,36,Colaba,Green
CUST00202,Customer_202,Male,59,Ghatkopar,Silver
CUST00203,Customer_203,Male,44,Colaba,None
CUST00204,Customer_204,Male,60,Chembur,Gold
CUST00205,Customer_205,Female,60,Andheri,None
CUST00206,Customer_206,Male,26,Andheri,Silver
CUST00207,Customer_207,Female,35,Vashi,Gold
CUST00208,Customer_208,Female,46,Thane,None
CUST00209,Customer_209,Female,47,Andheri,Green
CUST00210,Customer_210,Male,23,Colaba,None
CUST00211,Customer_211,Male,57,Thane,Silver
CUST00212,Customer_212,Female,29,Colaba,Gold
CUST00213,Customer_213,Female,44,Borivali,Green
CUST00214,Customer_214,Male,18,Andheri,Silver
CUST00215,Customer_215,Male,19,Dadar,Silver
CUST00216,Customer_216,Female,32,Chembur,Silver
CUST00217,Customer_217,Male,37,Dadar,None
CUST00218,Customer_218,Female,30,Chembur,Silver
CUST00219,Customer_219,Male,57,Borivali,Green
CUST00220,Customer_220,Female,51,Borivali,None
CUST00221,Customer_221,Male,35,Borivali,None
CUST00222,Customer_222,Male,19,Dadar,Silver
CUST00223,Customer_223,Female,21,Powai,Green
CUST00224,Customer_224,Male,43,Bandra,Green
CUST00225,Customer_225,Female,60,Vashi,None
CUST00226,Customer_226,Female,60,Chembur,None
CUST00227,Customer_227,Female,29,Colaba,Green
CUST00228,Customer_228,Female,28,Vashi,Green
CUST00229,Customer_229,Male,36,Bandra,None
CUST00230,Customer_230,Male,25,Colaba,Green
CUST00231,Customer_231,Male,22,Vashi,Green
CUST00232,Customer_232,Female,46,Vashi,Green
CUST00233,Customer_233,Female,30,Dadar,Gold
CUST00234,Customer_234,Male,31,Powai,None
CUST00235,Customer_235,Male,58,Chembur,Gold
CUST00236,Customer_236,Female,49,Dadar,Gold
CUST00237,Customer_237,Female,36,Andheri,None
CUST00238,Customer_238,Male,53,Borivali,None
CUST00239,Customer_239,Male,52,Bandra,Silver
CUST00240,Customer_240,Male,21,Borivali,Silver
CUST00241,Customer_241,Male,42,Colaba,Green
CUST00242,Customer_242,Male,41,Chembur,Green
CUST00243,Customer_243,Female,33,Bandra,Gold
CUST00244,Customer_244,Female,24,Thane,Gold
CUST00245,Customer_245,Male,40,Thane,Silver
CUST00246,Customer_246,Female,42,Dadar,Silver
CUST00247,Customer_247,Female,24,Colaba,Gold
CUST00248,Customer_248,Female,19,Andheri,None
CUST00249,Customer_249,Male,52,Thane,Green
CUST00250,Customer_250,Female,36,Vashi,Gold
CUST00251,Customer_251,Female,57,Colaba,Green
CUST00252,Customer_252,Male,42,Bandra,None
CUST00253,Customer_253,Male,43,Bandra,Green
CUST00254,Customer_254,Female,19,Powai,None
CUST00255,Customer_255,Female,56,Colaba,Silver
CUST00256,Customer_256,Female,28,Ghatkopar,Silver
CUST00257,Customer_257,Male,49,Vashi,Gold
CUST00258,Customer_258,Female,21,Bandra,Gold
CUST00259,Customer_259,Male,48,Colaba,Silver
CUST00260,Customer_260,Male,21,Dadar,Green
CUST00261,Customer_261,Male,58,Bandra,Silver
CUST00262,Customer_262,Female,49,Vashi,None
CUST00263,Customer_263,Male,40,Powai,None
CUST00264,Customer_264,Female,33,Powai,Silver
CUST00265,Customer_265,Female,24,Andheri,Silver
CUST00266,Customer_266,Female,18,Chembur,Green
CUST00267,Customer_267,Male,24,Colaba,Silver
CUST00268,Customer_268,Male,32,Bandra,Gold
CUST00269,Customer_269,Male,28,Bandra,Silver
CUST00270,Customer_270,Female,36,Bandra,Silver
CUST00271,Customer_271,Male,38,Bandra,Green
CUST00272,Customer_272,Female,22,Dadar,Gold
CUST00273,Customer_273,Male,21,Thane,Silver
CUST00274,Customer_274,Female,33,Vashi,Gold
CUST00275,Customer_275,Female,33,Ghatkopar,Green
CUST00276,Customer_276,Male,18,Colaba,None
CUST00277,Customer_277,Male,58,Colaba,Green
CUST00278,Customer_278,Male,36,Bandra,Gold
CUST00279,Customer_279,Male,37,Bandra,Silver
CUST00280,Customer_280,Female,55,Chembur,None
CUST00281,Customer_281,Male,22,Andheri,Gold
CUST00282,Customer_282,Female,60,Dadar,Green
CUST00283,Customer_283,Female,29,Dadar,Gold
CUST00284,Customer_284,Male,22,Bandra,Gold
CUST00285,Customer_285,Female,52,Thane,Green
CUST00286,Customer_286,Male,56,Andheri,Silver
CUST00287,Customer_287,Male,22,Thane,Gold
CUST00288,Customer_288,Female,48,Borivali,None
CUST00289,Customer_289,Female,20,Powai,Green
CUST00290,Customer_290,Male,58,Bandra,None
CUST00291,Customer_291,Male,34,Borivali,Silver
CUST00292,Customer_292,Male,44,Chembur,Silver
CUST00293,Customer_293,Male,30,Thane,Gold
CUST00294,Customer_294,Female,45,Vashi,Green
CUST00295,Customer_295,Female,23,Andheri,None
CUST00296,Customer_296,Female,25,Colaba,Silver
CUST00297,Customer_297,Female,58,Colaba,Gold
CUST00298,Customer_298,Female,23,Bandra,Green
CUST00299,Customer_299,Female,22,Thane,Green
CUST00300,Customer_300,Female,34,Ghatkopar,Gold
CUST00301,Customer_301,Female,28,Thane,Silver
CUST00302,Customer_302,Female,41,Dadar,None
CUST00303,Customer_303,Male,54,Bandra,None
CUST00304,Customer_304,Female,31,Vashi,Gold
CUST00305,Customer_305,Male,51,Colaba,Gold
CUST00306,Customer_306,Female,28,Colaba,Green
CUST00307,Customer_307,Female,22,Dadar,Green
CUST00308,Customer_308,Female,28,Powai,Gold
CUST00309,Customer_309,Female,30,Dadar,Silver
CUST00310,Customer_310,Male,23,Powai,Green
CUST00311,Customer_311,Female,34,Ghatkopar,None
CUST00312,Customer_312,Male,29,Vashi,Green
CUST00313,Customer_313,Female,22,Vashi,None
CUST00314,Customer_314,Male,40,Thane,Silver
CUST00315,Customer_315,Male,41,Thane,Silver
CUST00316,Customer_316,Female,27,Colaba,Silver
CUST00317,Customer_317,Male,18,Dadar,Gold
CUST00318,Customer_318,Male,36,Ghatkopar,Gold
CUST00319,Customer_319,Male,26,Ghatkopar,None
CUST00320,Customer_320,Male,34,Ghatkopar,None
CUST00321,Customer_321,Male,46,Thane,Gold
CUST00322,Customer_322,Male,18,Borivali,Silver
CUST00323,Customer_323,Female,45,Colaba,None
CUST00324,Customer_324,Male,59,Thane,Gold
CUST00325,Customer_325,Male,31,Chembur,Green
CUST00326,Customer_326,Male,32,Bandra,None
CUST00327,Customer_327,Female,34,Andheri,Gold
CUST00328,Customer_328,Female,30,Dadar,None
CUST00329,Customer_329,Male,24,Borivali,Green
CUST00330,Customer_330,Female,39,Andheri,Silver
CUST00331,Customer_331,Male,59,Andheri,Silver
CUST00332,Customer_332,Female,49,Borivali,Gold
CUST00333,Customer_333,Female,29,Bandra,Silver
CUST00334,Customer_334,Male,39,Bandra,Silver
CUST00335,Customer_335,Male,31,Powai,Green
CUST00336,Customer_336,Female,41,Bandra,Silver
CUST00337,Customer_337,Male,44,Borivali,Gold
CUST00338,Customer_338,Female,43,Ghatkopar,Green
CUST00339,Customer_339,Male,41,Powai,Silver
CUST00340,Customer_340,Male,50,Thane,None
CUST00341,Customer_341,Female,45,Powai,Gold
CUST00342,Customer_342,Female,45,Bandra,None
CUST00343,Customer_343,Female,21,Bandra,Green
CUST00344,Customer_344,Male,59,Bandra,Green
CUST00345,Customer_345,Female,54,Powai,Gold
CUST00346,Customer_346,Female,28,Bandra,Gold
CUST00347,Customer_347,Male,47,Powai,Silver
CUST00348,Customer_348,Female,28,Bandra,Gold
CUST00349,Customer_349,Male,42,Thane,Green
CUST00350,Customer_350,Female,59,Ghatkopar,Silver
CUST00351,Customer_351,Female,41,Bandra,Gold
CUST00352,Customer_352,Male,30,Bandra,Green
CUST00353,Customer_353,Male,19,Bandra,Silver
CUST00354,Customer_354,Male,41,Ghatkopar,Silver
CUST00355,Customer_355,Female,59,Colaba,None
CUST00356,Customer_356,Male,44,Powai,None
CUST00357,Customer_357,Male,24,Andheri,Silver
CUST00358,Customer_358,Female,25,Andheri,Gold
CUST00359,Customer_359,Female,37,Powai,Silver
CUST00360,Customer_360,Male,31,Dadar,Green
CUST00361,Customer_361,Female,56,Andheri,Silver
CUST00362,Customer_362,Female,34,Ghatkopar,Gold
CUST00363,Customer_363,Male,51,Ghatkopar,Gold
CUST00364,Customer_364,Male,44,Dadar,None
CUST00365,Customer_365,Male,26,Vashi,Silver
CUST00366,Customer_366,Male,21,Vashi,Green
CUST00367,Customer_367,Male,27,Powai,None
CUST00368,Customer_368,Male,29,Dadar,None
CUST00369,Customer_369,Male,51,Vashi,Green
CUST00370,Customer_370,Male,22,Dadar,Gold
CUST00371,Customer_371,Female,56,Bandra,None
CUST00372,Customer_372,Female,43,Andheri,Green
CUST00373,Customer_373,Male,18,Ghatkopar,Gold
CUST00374,Customer_374,Female,33,Thane,Gold
CUST00375,Customer_375,Male,25,Chembur,Silver
CUST00376,Customer_376,Male,57,Borivali,None
CUST00377,Customer_377,Male,41,Andheri,Silver
CUST00378,Customer_378,Male,52,Borivali,Silver
CUST00379,Customer_379,Male,46,Andheri,Green
CUST00380,Customer_380,Male,36,Borivali,Silver
CUST00381,Customer_381,Female,21,Ghatkopar,Gold
CUST00382,Customer_382,Male,55,Powai,None
CUST00383,Customer_383,Male,20,Bandra,None
CUST00384,Customer_384,Female,55,Borivali,Gold
CUST00385,Customer_385,Male,28,Powai,Gold
CUST00386,Customer_386,Female,29,Ghatkopar,Silver
CUST00387,Customer_387,Male,18,Colaba,Gold
CUST00388,Customer_388,Male,40,Thane,Green
CUST00389,Customer_389,Female,20,Bandra,None
CUST00390,Customer_390,Female,49,Chembur,None
CUST00391,Customer_391,Male,43,Andheri,None
CUST00392,Customer_392,Male,32,Vashi,Silver
CUST00393,Customer_393,Female,56,Colaba,Silver
CUST00394,Customer_394,Male,44,Vashi,None
CUST00395,Customer_395,Female,47,Ghatkopar,Gold
CUST00396,Customer_396,Male,19,Thane,Green
CUST00397,Customer_397,Male,56,Ghatkopar,Silver
CUST00398,Customer_398,Male,30,Bandra,Gold
CUST00399,Customer_399,Female,37,Andheri,None
CUST00400,Customer_400,Male,47,Vashi,Gold
CUST00401,Customer_401,Male,56,Colaba,Gold
CUST00402,Customer_402,Male,37,Thane,Gold
CUST00403,Customer_403,Male,40,Ghatkopar,Silver
CUST00404,Customer_404,Female,21,Dadar,None
CUST00405,Customer_405,Male,25,Borivali,None
CUST00406,Customer_406,Male,34,Dadar,None
CUST00407,Customer_407,Male,59,Bandra,Green
CUST00408,Customer_408,Male,60,Colaba,Gold
CUST00409,Customer_409,Male,53,Dadar,Gold
CUST00410,Customer_410,Male,58,Ghatkopar,Green
CUST00411,Customer_411,Female,20,Vashi,Silver
CUST00412,Customer_412,Male,47,Thane,Green
CUST00413,Customer_413,Male,49,Andheri,None
CUST00414,Customer_414,Male,43,Bandra,Silver
CUST00415,Customer_415,Female,30,Borivali,None
CUST00416,Customer_416,Female,44,Bandra,Silver
CUST00417,Customer_417,Male,30,Ghatkopar,Silver
CUST00418,Customer_418,Male,18,Thane,None
CUST00419,Customer_419,Female,23,Chembur,Silver
CUST00420,Customer_420,Female,41,Dadar,None
CUST00421,Customer_421,Male,55,Powai,Green
CUST00422,Customer_422,Female,28,Powai,Green
CUST00423,Customer_423,Male,25,Andheri,None
CUST00424,Customer_424,Male,40,Andheri,Gold
CUST00425,Customer_425,Female,45,Bandra,None
CUST00426,Customer_426,Male,25,Powai,Silver
CUST00427,Customer_427,Female,25,Ghatkopar,Gold
CUST00428,Customer_428,Male,25,Borivali,None
CUST00429,Customer_429,Male,42,Dadar,Green
CUST00430,Customer_430,Female,38,Thane,Silver
CUST00431,Customer_431,Female,47,Chembur,Green
CUST00432,Customer_432,Male,25,Borivali,Silver
CUST00433,Customer_433,Female,33,Colaba,None
CUST00434,Customer_434,Female,21,Thane,Green
CUST00435,Customer_435,Male,59,Dadar,Green
CUST00436,Customer_436,Female,50,Vashi,Silver
CUST00437,Customer_437,Male,21,Colaba,Gold
CUST00438,Customer_438,Female,41,Colaba,Gold
CUST00439,Customer_439,Female,49,Vashi,Silver
CUST00440,Customer_440,Female,29,Ghatkopar,Silver
CUST00441,Customer_441,Female,26,Bandra,Green
CUST00442,Customer_442,Female,56,Thane,Silver
CUST00443,Customer_443,Female,36,Andheri,None
CUST00444,Customer_444,Male,47,Powai,Green
CUST00445,Customer_445,Male,43,Vashi,Silver
CUST00446,Customer_446,Male,49,Powai,Silver
CUST00447,Customer_447,Female,32,Ghatkopar,Gold
CUST00448,Customer_448,Male,46,Thane,Green
CUST00449,Customer_449,Female,18,Ghatkopar,Silver
CUST00450,Customer_450,Female,57,Borivali,Gold
CUST00451,Customer_451,Female,54,Colaba,Gold
CUST00452,Customer_452,Female,26,Powai,None
CUST00453,Customer_453,Male,43,Chembur,None
CUST00454,Customer_454,Female,19,Borivali,Green
CUST00455,Customer_455,Female,51,Dadar,Gold
CUST00456,Customer_456,Female,42,Borivali,Silver
CUST00457,Customer_457,Female,27,Powai,Silver
CUST00458,Customer_458,Female,43,Colaba,Gold
CUST00459,Customer_459,Male,42,Colaba,Silver
CUST00460,Customer_460,Female,29,Andheri,None
CUST00461,Customer_461,Female,54,Chembur,None
CUST00462,Customer_462,Male,59,Thane,Gold
CUST00463,Customer_463,Female,54,Dadar,Gold
CUST00464,Customer_464,Male,30,Borivali,Green
CUST00465,Customer_465,Male,59,Andheri,None
CUST00466,Customer_466,Male,49,Dadar,Green
CUST00467,Customer_467,Male,25,Colaba,Green
CUST00468,Customer_468,Female,34,Dadar,Gold
CUST00469,Customer_469,Male,23,Colaba,Green
CUST00470,Customer_470,Male,28,Bandra,Gold
CUST00471,Customer_471,Male,50,Colaba,Gold
CUST00472,Customer_472,Female,56,Powai,None
CUST00473,Customer_473,Male,45,Andheri,None
CUST00474,Customer_474,Male,52,Thane,Silver
CUST00475,Customer_475,Female,31,Andheri,Silver
CUST00476,Customer_476,Female,20,Colaba,Silver
CUST00477,Customer_477,Female,41,Dadar,None
CUST00478,Customer_478,Male,56,Powai,None
CUST00479,Customer_479,Male,49,Bandra,None
CUST00480,Customer_480,Female,22,Thane,Gold
CUST00481,Customer_481,Female,18,Vashi,Green
CUST00482,Customer_482,Male,28,Bandra,Silver
CUST00483,Customer_483,Male,20,Dadar,None
CUST00484,Customer_484,Male,60,Andheri,Silver
CUST00485,Customer_485,Female,55,Chembur,Gold
CUST00486,Customer_486,Male,51,Andheri,None
CUST00487,Customer_487,Female,20,Vashi,Green
CUST00488,Customer_488,Male,23,Thane,Gold
CUST00489,Customer_489,Male,20,Vashi,None
CUST00490,Customer_490,Female,53,Dadar,Silver
CUST00491,Customer_491,Male,29,Vashi,Gold
CUST00492,Customer_492,Female,21,Colaba,Green
CUST00493,Customer_493,Female,29,Ghatkopar,Gold
CUST00494,Customer_494,Male,26,Andheri,Green
CUST00495,Customer_495,Female,22,Thane,None
CUST00496,Customer_496,Male,43,Vashi,None
CUST00497,Customer_497,Female,51,Colaba,None
CUST00498,Customer_498,Male,53,Andheri,Silver
CUST00499,Customer_499,Female,19,Chembur,Green
CUST00500,Customer_500,Male,43,Powai,Gold
CUST00501,Customer_501,Male,50,Ghatkopar,None
CUST00502,Customer_502,Female,60,Andheri,Silver
CUST00503,Customer_503,Female,18,Chembur,Green
CUST00504,Customer_504,Female,23,Colaba,Green
CUST00505,Customer_505,Male,21,Vashi,Green
CUST00506,Customer_506,Male,29,Dadar,Gold
CUST00507,Customer_507,Male,41,Chembur,Silver
CUST00508,Customer_508,Male,37,Dadar,Green
CUST00509,Customer_509,Female,48,Powai,None
CUST00510,Customer_510,Female,23,Colaba,None
CUST00511,Customer_511,Female,37,Dadar,None
CUST00512,Customer_512,Male,21,Thane,None
CUST00513,Customer_513,Female,49,Colaba,Gold
CUST00514,Customer_514,Female,40,Colaba,Gold
CUST00515,Customer_515,Male,42,Vashi,Green
CUST00516,Customer_516,Female,45,Bandra,Gold
CUST00517,Customer_517,Male,54,Powai,None
CUST00518,Customer_518,Male,46,Vashi,Silver
CUST00519,Customer_519,Female,33,Dadar,Silver
CUST00520,Customer_520,Female,23,Dadar,None
CUST00521,Customer_521,Female,51,Chembur,Silver
CUST00522,Customer_522,Male,47,Andheri,Silver
CUST00523,Customer_523,Female,35,Thane,None
CUST00524,Customer_524,Female,23,Powai,Silver
CUST00525,Customer_525,Male,59,Thane,None
CUST00526,Customer_526,Male,34,Bandra,Green
CUST00527,Customer_527,Male,50,Vashi,Green
CUST00528,Customer_528,Female,56,Colaba,Green
CUST00529,Customer_529,Female,51,Bandra,None
CUST00530,Customer_530,Male,30,Chembur,None
CUST00531,Customer_531,Female,48,Thane,None
CUST00532,Customer_532,Male,22,Vashi,Silver
CUST00533,Customer_533,Female,19,Colaba,None
CUST00534,Customer_534,Female,35,Colaba,Silver
CUST00535,Customer_535,Male,39,Vashi,None
CUST00536,Customer_536,Male,33,Ghatkopar,Gold
CUST00537,Customer_537,Male,31,Chembur,Gold
CUST00538,Customer_538,Male,30,Andheri,Green
CUST00539,Customer_539,Male,26,Chembur,Silver
CUST00540,Customer_540,Female,27,Andheri,Green
CUST00541,Customer_541,Male,20,Vashi,Gold
CUST00542,Customer_542,Female,36,Bandra,Gold
CUST00543,Customer_543,Female,48,Ghatkopar,Silver
CUST00544,Customer_544,Male,54,Vashi,Silver
CUST00545,Customer_545,Male,46,Ghatkopar,Green
CUST00546,Customer_546,Female,22,Ghatkopar,Green
CUST00547,Customer_547,Male,29,Thane,None
CUST00548,Customer_548,Male,21,Andheri,Green
CUST00549,Customer_549,Female,35,Chembur,Silver
CUST00550,Customer_550,Female,29,Borivali,Gold
